# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan  2 09:45:47 2015
#
# CONSTRAINT:  where (pl_kepflag > 0
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc.[AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc.[AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_msinijerr1:  Planet M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_msinijerr2:  Planet M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_msinijlim:   Planet M*sin(i) Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
# COLUMN st_vjblend:     V-band (Johnson) Blend Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr:     Effective Temperature Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_teffblend:   Effective Temperature Blend Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_msinie:      Planet M*sin(i) [Earth mass]
# COLUMN pl_msinieerr1:  Planet M*sin(i) Upper Unc. [Earth mass]
# COLUMN pl_msinieerr2:  Planet M*sin(i) Lower Unc. [Earth mass]
# COLUMN pl_msinielim:   Planet M*sin(i) Limit Flag
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_radserr1:    Planet Radius Upper Unc. [Solar radii]
# COLUMN pl_radserr2:    Planet Radius Lower Unc. [Solar radii]
# COLUMN pl_radslim:     Planet Radius Limit Flag
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_sperr:       Spectral Type Unc.
# COLUMN st_splim:       Spectral Type Limit Flag
# COLUMN st_spblend:     Spectral Type Blend Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_loggblend:   Stellar Surface Gravity Blend Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr:     Stellar Density Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metfeerr:    Stellar Metallicity Unc. [dex]
# COLUMN st_metfelim:    Stellar Metallicity Limit Flag
# COLUMN st_metfeblend:  Stellar Metallicity Blend Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr,st_logglim,st_loggblend,st_dens,st_denserr,st_denslim,st_metfe,st_metfeerr,st_metfelim,st_metfeblend
621,TrES-2,b,Transit,1,2.47063000,0.00001000,-0.00001000,0,0.035560,0.000750,-0.000750,0,0.000000,,,0,1.19900,0.05200,-0.05200,0,,,,,1.272,0.041,-0.041,0,0.77000,0.09000,-0.09000,0,83.620,0.140,-0.140,0,0,1,19h07m14.03s,286.808477,+49d18m59.1s,49.316407,213.00,11.00,-11.00,0,11.411,0.005,0,0,5850.00,50.00,0,,0.98,0.06,0,,1.00,0.03,0,,,,381.10000,16.52700,-16.52700,0,,,,,0.131,0.004,-0.004,0,4.00,G0 V,,0,0,4.38,,0,0,,,,-0.139,,0,0
622,HAT-P-7,b,Transit,1,2.20473700,0.00001700,-0.00001700,0,0.037700,0.000500,-0.000500,0,0.000000,,,0,1.77600,0.07700,-0.07700,0,,,,,1.342,0.068,-0.068,0,,,,,83.111,0.030,-0.030,0,0,1,19h28m59.36s,292.247314,+47d58m10.2s,47.969513,320.00,50.00,-40.00,0,,,,,6350.00,80.00,0,,1.47,0.08,0,,1.84,0.23,0,,,,564.44200,24.47200,-24.47200,0,,,,,0.138,0.007,-0.007,0,,,,,,3.79,,0,0,,,,,,,
623,HAT-P-11,b,Transit,1,4.88781620,0.00000710,-0.00000710,0,0.053000,0.000200,-0.000800,0,0.198000,0.046000,-0.046000,0,0.08100,0.00900,-0.00900,0,,,,,0.422,0.014,-0.014,0,1.33000,0.20000,-0.20000,0,88.500,0.600,-0.600,0,0,1,19h50m50.24s,297.709351,+48d04m51.1s,48.080856,38.00,1.30,-1.30,0,9.472,0.024,0,0,4780.00,50.00,0,0,0.81,0.02,0,0,0.75,0.02,0,0,,HIP 97657,25.74300,2.86000,-2.86000,0,,,,,0.043,0.001,-0.001,0,5.40,K4,,0,0,4.59,,0,0,,,,0.310,0.050,0,0
624,Kepler-4,b,Transit,1,3.21346000,0.00022000,-0.00022000,0,0.045600,0.000900,-0.000900,0,0.000000,,,0,0.07700,0.01200,-0.01200,0,,,,,0.357,0.019,-0.019,0,1.91000,0.36000,-0.47000,0,89.760,0.240,-2.050,0,0,1,19h02m27.68s,285.615326,+50d08m08.7s,50.135754,550.00,80.00,-80.00,0,12.700,0.422,0,0,5857.00,120.00,0,0,1.22,0.05,0,0,1.49,0.07,0,0,,,24.47200,3.81400,-3.81400,0,,,,,0.037,0.002,-0.002,0,,,,,,4.17,0.04,0,0,,,,0.170,0.060,0,0
625,Kepler-5,b,Transit,1,3.54846000,0.00003200,-0.00003200,0,0.050640,0.000700,-0.000700,0,0.024000,,,1,2.11400,0.05600,-0.05900,0,,,,,1.431,0.041,-0.052,0,0.89400,0.07900,-0.07900,0,86.300,0.500,-0.500,0,0,1,19h57m37.68s,299.407013,+44d02m06.2s,44.035046,,,,,,,,,6297.00,60.00,0,0,1.37,0.04,0,0,1.79,0.04,0,0,,,671.86400,17.79800,-18.75100,0,,,,,0.147,0.004,-0.005,0,,,,,,4.07,0.02,0,0,,,,0.040,0.060,0,0
626,Kepler-6,b,Transit,1,3.23472300,0.00001700,-0.00001700,0,0.045670,0.000550,-0.000460,0,0.000000,,,0,0.66900,0.02500,-0.03000,0,,,,,1.323,0.026,-0.029,0,0.35200,0.01800,-0.02200,0,86.800,0.300,-0.300,0,0,1,19h47m20.94s,296.837250,+48d14m23.9s,48.239964,,,,,,,,,5647.00,44.00,0,0,1.21,0.04,0,0,1.39,0.02,0,0,,,212.61900,7.94500,-9.53400,0,,,,,0.136,0.003,-0.003,0,,,,,,4.24,0.01,0,0,,,,0.340,0.040,0,0
627,Kepler-7,b,Transit,1,4.88552500,0.00004000,-0.00004000,0,0.062240,0.001090,-0.000840,0,0.000000,,,0,0.43300,0.04000,-0.04100,0,,,,,1.478,0.050,-0.051,0,0.16600,0.01900,-0.02000,0,86.500,0.400,-0.400,0,0,1,19h14m19.56s,288.581512,+41d05m23.3s,41.089798,,,,,,,,,5933.00,44.00,0,0,1.35,0.07,0,0,1.84,0.05,0,0,,,137.61500,12.71300,-13.03000,0,,,,,0.152,0.005,-0.005,0,,,,,,4.03,0.02,0,0,,,,0.110,0.030,0,0
628,Kepler-8,b,Transit,1,3.52254000,0.00003000,-0.00005000,0,0.048300,0.000600,-0.001200,0,0.000000,,,0,0.60300,0.13000,-0.19000,0,,,,,1.419,0.056,-0.058,0,0.26100,0.07100,-0.07100,0,84.070,0.330,-0.330,0,0,1,18h45m09.15s,281.288116,+42d27m03.9s,42.451080,1330.00,180.00,-180.00,0,13.900,0.324,0,0,6213.00,150.00,0,0,1.21,0.07,0,0,1.49,0.05,0,0,,,191.64300,41.31600,-60.38500,0,,,,,0.146,0.006,-0.006,0,,,,,,4.17,0.03,0,0,,,,-0.055,0.030,0,0
629,Kepler-9,b,Transit,3,19.24000000,,,0,0.140000,0.001000,-0.001000,0,0.150000,,,0,0.25200,0.01300,-0.01300,0,,,,,0.842,0.069,-0.069,0,0.52400,0.13200,-0.13200,0,,,,,1,1,19h02m17.75s,285.573975,+38d24m03.2s,38.400894,650.00,,,0,,,,,5777.00,61.00,0,0,1.07,0.05,0,0,1.02,0.05,0,0,,,80.09000,4.13200,-4.13200,0,,,,,0.087,0.007,-0.007,0,,,,,,4.49,0.09,0,0,,,,0.120,0.040,0,0
630,Kepler-9,c,Transit,3,38.91000000,,,0,0.225000,0.001000,-0.001000,0,0.130000,,,0,0.17100,0.01300,-0.01300,0,,,,,0.823,0.067,-0.067,0,0.38300,0.09800,-0.09800,0,,,,,1,1,19h02m17.75s,285.573975,+38d24m03.2s,38.400894,650.00,,,0,,,,,5777.00,61.00,0,0,1.07,0.05,0,0,1.02,0.05,0,0,,,54.34700,4.13200,-4.13200,0,,,,,0.085,0.007,-0.007,0,,,,,,4.49,0.09,0,0,,,,0.120,0.040,0,0
631,Kepler-9,d,Transit,3,1.59285100,0.00004500,-0.00004500,0,0.027300,0.000420,-0.000430,0,,,,,,,,,,,,,0.146,0.017,-0.012,0,,,,,,,,,0,1,19h02m17.75s,285.573975,+38d24m03.2s,38.400894,650.00,,,0,,,,,5777.00,61.00,0,0,1.07,0.05,0,0,1.02,0.05,0,0,,,,,,,,,,,0.015,0.002,-0.001,0,,,,,,4.49,0.09,0,0,,,,0.120,0.040,0,0
632,Kepler-10,b,Transit,2,0.83749070,0.00000020,-0.00000020,0,0.016850,0.000130,-0.000130,0,0.000000,,,0,0.01000,0.00200,-0.00200,0,,,,,0.131,0.003,-0.002,0,5.80000,0.80000,-0.80000,0,84.800,3.200,-3.900,0,0,1,19h02m43.05s,285.679382,+50d14m28.7s,50.241299,173.00,27.00,-27.00,0,10.940,0.345,0,0,5708.00,28.00,0,0,0.91,0.02,0,0,1.06,0.01,0,0,,,3.33000,0.49000,-0.49000,0,,,,,0.013,0.000,0.000,0,,,,,,4.34,0.00,0,0,1.0680,0.0040,0,-0.150,0.040,0,0
